Beer,Origin,Style,ABV,Ratings
The Rock Suicide Blonde,WA,Bohemian / Czech Pilsener,4.1%,3.075
Great Dane Billiard Brown Ale,WI,Brown Ale,-,3.075
Das Bierhaus Munich Dunkel,WI,Dunkel / Dark Lager,5.1%,3.075
New Albanian Elsa Von Horizon,IN,Imperial Pilsener,8%,3.075
Jack's ESB,CA,Extra Special Bitter,-,3.075
Buckman Village Ginger,OR,Spiced Beer,-,3.075
Freetail Ale,TX,Amber Ale,6%,3.075
Record Street ESB,NV,Extra Special Bitter,5.7%,3.075
Migration Nor'Easter,OR,Belgian Strong Ale,10%,3.075
Big Dogs Hop Harvest Ale,NV,Imperial IPA,7.1%,3.075
5 Seasons Otay Buckwheat Ale,GA,Rye Beer,-,3.075
Beermanns India Pale Ale,CA,IPA,6.5%,3.075
Iron Hill Imperial Pilsner,DE,Strong Lager,6%,3.075
Brew It Up! Marzen,CA,Marzen / Oktoberfest,-,3.075
Andrews Northern Brown Ale,ME,Brown Ale,-,3.075
Great Dane Whisper Pale Ale,WI,American Pale Ale,-,3.075
Dahlonega Whiskey Barrel Rye Pale Ale,GA,American Pale Ale,-,3.075
Davidson Brothers Irish Red,NY,Irish Ale,5%,3.075
Kannah Creek Berliner Weisse,CO,Berliner Weisse,4%,3.075
R. J. Rockers Light Rock Ale,SC,Kölsch,4.5%,3.075
Morgan Street Oktoberfest,MO,Marzen / Oktoberfest,-,3.075
Rock Bottom Brewmasters Choice Dunkelweizen,CO,Dunkel Weizen,-,3.075
Stonefly Lager Lager,WI,Lager,4.5%,3.075
Shed Brewery Ambrotos,VT,Fruit Lambic,-,3.075
Freetail Woodicus,TX,Wild Ale,7.6%,3.075
Seven Bridges Winters Nip Porter,FL,Porter,-,3.075
E.J. Phair Shorty's Revenge,CA,English Strong Ale,8%,3.075
Wynkoop Western Slope Cider,CO,Cider,5.25%,3.075
Avery WheelSucker Wheat,CO,Hefeweizen,7.2%,3.075
Four String Brass Knuckle,OH,American Pale Ale,5.75%,3.075
Mammoth Family Table Beer,CA,Belgian Ale,5%,3.075
Twains Four Count Pale Ale,GA,American Pale Ale,5.5%,3.075
Engine House Belgian Pale Ale,WA,Belgian Ale,-,3.075
Pedernales Lobo Texas Lager,TX,Lager,5.5%,3.075
Iron City Light Berry,PA,Fruit Beer,3.8%,3.075
High Water Left Hand Monkey Wrench,CA,Wild Ale,8.2%,3.075
Upright Saison Du Blodgett,OR,Saison,4.75%,3.075
Noble Ale Works The Good Ship ESB,CA,Extra Special Bitter,5.8%,3.075
Haven Simcoded,CA,American Pale Ale,5.5%,3.075
FiftyFifty Red Is The New Black IPA,CA,Imperial IPA,8.7%,3.075
Hi-Wire Lager,NC,Lager,4.6%,3.075
Ellicottville Eagle Trail IPA,NY,IPA,7%,3.075
Full Sail Brewer's Share Weizen Bock,OR,Weizenbock,7.2%,3.075
Odell Germans From Russia,CO,Dunkel / Dark Lager,-,3.075
Capital Lake House,WI,Pale Lager,4.6%,3.075
New Glory Imperial Red Ale,CA,Strong Ale,7.5%,3.075
Paradox The Paradox of Tao - The Yang,CO,Witbier,7%,3.075
Avery Barrel-Aged Series 11: Recolte Sauvage,CO,Wild Ale,8.58%,3.075
Kickin' Chicken Burbon Barrel Aged Barley Wine,NM,American Barleywine,12%,3.075
Pearl Street Sabers Edge Imperial IPA,NY,Imperial IPA,-,3.075
Deschutes Rye-T On!,OR,Rye Beer,6%,3.075
Great Basin Stone Mother Marzen,NV,Marzen / Oktoberfest,6.3%,3.075
Abita Spring IPA,LA,IPA,6.25%,3.075
Pearl Street Spirit Of Buffalo,NY,Pale Lager,-,3.075
Lassen Ale Works Uptown Brown,CA,Brown Ale,4.6%,3.075
Hydro Street Marry Ann and Ginger Wheat,WI,Spiced Beer,-,3.075
Pearl Street Blue-Eyed Blueberry Blonde,NY,Fruit Beer,-,3.075
Oskar Blues / Saint Archer Saint Oskar Indica Black Lager,CO,Schwarzbier,7%,3.075
New Glory India Pale Lager,CA,Lager,6%,3.075
Blue Pants Workman Common,AL,California Common / Steam,5%,3.075
Depot Street Sun Fest Lager,TN,Pale Lager,5.2%,3.075
Saranac High Peaks Chocolate Orange,NY,Baltic Porter,9%,3.075
Pearl Street Rye Wist of Fete,NY,Rye Beer,4.5%,3.075
Borealis Fermentery Mon Cherries Cherry Dubbel,MN,Fruit Beer,7.5%,3.075
Ellicottville Stainless Steel Obsession,NY,IPA,7%,3.075
Ellicottville EVL Amber Ale,NY,Amber Ale,5.2%,3.075
Hi-Wire Prime Time Pale Ale,NC,American Pale Ale,5.5%,3.075
Ninkasi Helles Belles,OR,Helles / Dortmunder,5.1%,3.075
Saw Works Hop Battle,TN,American Pale Ale,5.1%,3.075
Blackhorse Irish Ale,TN,Irish Ale,5.5%,3.075
Twains Obscenity Oatmeal Porter,GA,Porter,5.9%,3.075
Point Three Kings,WI,Kölsch,4.9%,3.075
Four Horsemen Hop Rush IPA,IN,Imperial IPA,9%,3.075
Boulder Funhouse Saison,CO,Saison,-,3.075
Asheville Pizza King Hippo IPA,NC,IPA,6.8%,3.075
Big Boss The Countess,NC,Fruit Beer,4.3%,3.075
Deep Ellum Darkest Hour,TX,Imperial Stout,9%,3.075
Lompoc Stout Out Loud,OR,Stout,4.9%,3.075
"Pretty Things Once Upon a Time, February 22nd, 1945, X Ale",MA,Mild Ale,2.8%,3.075
Coast Same Old Same Old,SC,Amber Ale,5.5%,3.075
Bootstrap Insane Rush IPA,CO,IPA,6.8%,3.075
Birdsong Doin Thyme,NC,Witbier,4.3%,3.075
Birdsong Up in the Sun Saison,NC,Saison,7.5%,3.075
Michael's Genuine Home Brew,AL,American Pale Ale,-,3.075
Funky Buddha Crusher Single Hop Session IPA,FL,IPA,4.3%,3.075
Blue Moon Pine In The Neck,CO,Imperial IPA,7.5%,3.075
Jekyll Brewing Southern Session,GA,Blonde Ale,4.8%,3.075
Morgantown Zack Morgans IPA,WV,IPA,6.7%,3.075
Funky Buddha Doc Brown Ale,FL,Brown Ale,6.4%,3.075
Mad River Funk de Aardbei,CA,Fruit Lambic,6%,3.075
Natty Greene's Freedom American IPA,NC,IPA,6.5%,3.075
Long Trail Farmhouse American IPA,VT,IPA,6.4%,3.075
GoodLife Good & Worthy,OR,Rye Beer,4.5%,3.075
Turtle Anarchy Another Way to Rye,TN,IPA,6.2%,3.075
Oceanside Ale Works Elevation 83 Extreme Pale Ale,CA,Imperial IPA,8.3%,3.075
Mad River Rorschach V 24th Anniversary Belgian Style Quadrupel,CA,Abbey Quadrupel,11.5%,3.075
No Label Don Jalapeno,TX,Spiced Beer,6%,3.075
Pitchfork Rusty Fork Porter,WI,Porter,-,3.075
Hop Valley Double D Blonde,OR,Blonde Ale,4.9%,3.075
Hopworks Midnight In Portland,OR,Dunkel / Dark Lager,5.3%,3.075
Craggie Brewing Oktoberfest Lager,NC,Marzen / Oktoberfest,4%,3.075
Crooked Stave Surette Reserva,CO,Saison,6.5%,3.075
Paradox Heralded Nocturnes Autumnus,CO,Strong Ale,7.4%,3.075
Town Hall Fresh Hop 100,MN,IPA,6.7%,3.075
Crank Arm Brewing Rickshaw Rye IPA,NC,IPA,7%,3.075
Wrecking Bar Tip of the Cap English Mild,GA,Mild Ale,3.6%,3.075
Blue Pants Amber Waders of Grain,AL,Vienna / Amber Lager,5%,3.075
Flat Tail Lovin' Hoppin' Squeezin',OR,American Pale Ale,5%,3.075
Wynwood El Dorado Pale Ale,FL,American Pale Ale,6.5%,3.075
New Planet Blonde Ale,CO,Blonde Ale,6%,3.075
Columbus Sohio Stout,OH,Stout,8.5%,3.075
Renegade Sunday Morning,CO,Strong Ale,7%,3.075
Okoboji Boji Blue Pale Ale,IA,American Pale Ale,5%,3.075
New Albanian Black & Blue Grass,IN,Belgian Ale,6.5%,3.075
Two Brothers Sidekick Extra Pale Ale,IL,American Pale Ale,5.1%,3.075
Deschutes Gluten-Free NW Pale Ale,OR,American Pale Ale,5.6%,3.075
Orgasmica Blueberry Best Bitter,CA,Fruit Beer,6.1%,3.075
Breakside Woodlawn Pale Ale,OR,IPA,5.4%,3.075
Breakside Wanderlust IPA,OR,IPA,6.7%,3.075
Oceanside Ale Works Scotty's Oatmeal Stout,CA,Oatmeal Stout,6.5%,3.075
Great Basin Balloon Brew,NV,Blonde Ale,5.3%,3.075
McMenamins Yellow Jacket IPA,OR,IPA,-,3.075
Morgantown 80 Shilling Scotch Ale,WV,Scottish Ale,4.9%,3.075
Rockyard Diesel Double IPA,CO,Imperial IPA,10%,3.075
The Commons Walnut,OR,Porter,5.5%,3.075
Lexington Avenue Amber,NC,Amber Ale,6.8%,3.075
Brouwerij West Dog Ate My Homework,CA,Fruit Beer,7%,3.075
Burnside Ultra Bavarian Pale,OR,American Pale Ale,5.7%,3.075
Port City Revival,VA,Oyster Stout,5.5%,3.075
Olvalde Brynhildr's Gift,MN,Spiced Beer,-,3.075
Brasserie Saint James Saison Of The Witch,NV,Saison,5.1%,3.075
Florida Beer Company Duff (Simpson's Beer),FL,American Pale Ale,4.8%,3.075
Silver Peak Cherry Wit,NV,Witbier,5%,3.075
Gamble Mill Pig Iron India Pale Ale,PA,IPA,7.5%,3.075
The Brewer's Cabinet Blood Orange Wit,NV,Witbier,5%,3.075
Old Town Volks Wheat,OR,American Wheat,5.5%,3.075
Odell Proletariat,CO,California Common / Steam,6%,3.075
Rocky River McConick's Export Ale,OH,Extra Special Bitter,-,3.075
Drake's Midnight Run,CA,Imperial Stout,8.75%,3.075
Church Brew Weizenbock,PA,Weizenbock,7.4%,3.075
Steel Toe Provider Ale,MN,Blonde Ale,5%,3.075
Schell Stag Series #8: August's Bock,MN,Doppelbock,6.9%,3.075
Base Camp Smoked Weissbier,OR,Smoked Ale,-,3.075
Fat Heads Oktoberfest,OH,Marzen / Oktoberfest,5.7%,3.075
BJ's Whiskey-Barrel Stout,CA,Imperial Stout,-,3.075
Lake Superior Deep Water Black IPA,MN,American Black Ale,-,3.075
GoodLife Pass Stout,OR,Stout,7.7%,3.075
Fire On The Mountain Dark Secret Belgian Stout,OR,Stout,-,3.075
Cellar Rats Rat Rampage,OH,IPA,7.2%,3.075
Odell Oktoberfest,CO,Marzen / Oktoberfest,6%,3.075
Hubrew Smoked Porter,MO,Smoked Ale,-,3.075
Cisco Brewers Island Reserve 2013 Gose Beer,MA,Ale,4.4%,3.075
Falling Sky So Fresh So Green,OR,Lager,5.8%,3.075
Jekyll Brewing Jaded Blonde,GA,Blonde Ale,-,3.075
Silver Peak El Dorado Pale Ale,NV,American Pale Ale,6.1%,3.075
Dust Bowl Galatic Wrath Anniversary IPA,CA,IPA,7.5%,3.075
Ballast Point Copper Ale,CA,Extra Special Bitter,5.5%,3.075
The Brewer's Cabinet Maestro Lambrewsco,NV,Saison,5.7%,3.075
Silver Peak Aspen Altbier,NV,Altbier,5.5%,3.075
Great Basin Salsa Chilibeso,NV,Spiced Beer,-,3.075
Lore Girls Gone Mild English Dark,KY,Mild Ale,-,3.075
DuClaw Soul Jacker,MD,Strong Ale,9.5%,3.075
Lexington Avenue App-a-lacky Pale Ale,NC,American Pale Ale,6.9%,3.075
Asheville Pizza Stuntman Brown Ale,NC,Brown Ale,4.7%,3.075
No Label 1st Street Ale,TX,Blonde Ale,5%,3.075
Southern Oregon Na Zdravi,OR,Bohemian / Czech Pilsener,4.8%,3.075
Schlafly Can Sessions IPA,MO,IPA,4.5%,3.075
New Republic Anthem Blonde,TX,Blonde Ale,5.1%,3.075
Pints Rip Saw Red,OR,Amber Ale,5.9%,3.075
Texas Big Beer Queen's Limited Release White Chocolate Porter,TX,Imperial Porter,8.2%,3.075
Rockyard Bourbon Strike Stout,CO,Oatmeal Stout,5.5%,3.075
Ninkasi Smells Like Purple,OR,American Pale Ale,5.3%,3.075
Fort Bend Texas Lightning IPA,TX,IPA,6.8%,3.075
Fort Bend Texas Thunder Stout,TX,Stout,6.6%,3.075
Cherry Street Dirty Frenchman Belgian Saison,GA,Saison,6.2%,3.075
Odell Woodcut Oak Aged Russian Imperial Stout No. 07,CO,Imperial Stout,12.5%,3.075
Lost Coast Great White,CA,Witbier,5%,3.074
BJ's P.M. Porter,CA,Porter,6.4%,3.073
Alpine Beer Company Mandarin Nectar,CA,Fruit Beer,6.5%,3.073
Arcadia Amber Ale,MI,Amber Ale,5.8%,3.073
Lakefront Klisch Pilsner,WI,Bohemian / Czech Pilsener,5.4%,3.071
Brewery At Lake Tahoe Bad Ass Ale,CA,Strong Ale,9%,3.071
Max Red,GA,Vienna / Amber Lager,4.7%,3.071
Montgomery Brewing Old Montgomery Blonde,AL,Blonde Ale,-,3.071
Upslope Pale Ale,CO,American Pale Ale,5.8%,3.071
Sly Fox Helles Golden Lager,PA,Helles / Dortmunder,-,3.071
Gritty McDuffs Original Pub Style Pale Ale,ME,American Pale Ale,-,3.071
Capital Dark,WI,Dunkel / Dark Lager,5.5%,3.070
Legacy Euphoria,PA,Belgian Strong Ale,8.7%,3.070
Estes Park Renegade,CO,IPA,5.8%,3.069
Atlantic Bar Harbor Blueberry Ale,ME,Fruit Beer,5.2%,3.067
Bluegrass Dark Star Porter,KY,Porter,-,3.067
Peak Organic Nut Brown Ale,ME,Brown Ale,4.8%,3.067
Wolavers Witbier,VT,Witbier,-,3.067
Yards Brawler,PA,Mild Ale,4.2%,3.067
Potosi Fiddler Oatmeal Stout,WI,Oatmeal Stout,8%,3.067
Andrews St. Nick Porter,ME,Porter,-,3.067
Dempseys Frostbite Lager,SD,Lager,-,3.067
Knee Deep Beautiful Blonde,CA,Blonde Ale,4.2%,3.067
Left Coast Ale Epeteios,CA,Imperial Stout,9.5%,3.067
Pearl Street That's What I'm Talkin' About Organic Rolled Oat Stout,WI,Oatmeal Stout,6%,3.067
Saranac India Brown Ale,NY,Brown Ale,-,3.067
Magic Hat Odd Notion- Green Apple Wit (Fall '10),VT,Fruit Beer,4.5%,3.067
Tuscan Paradise Pale Ale,CA,American Pale Ale,5.7%,3.067
Mt. Carmel Nut Brown Ale,OH,Brown Ale,6%,3.067
Thirsty Bear Brown Bear,CA,Brown Ale,6.3%,3.067
Craftsman Smoked Black Lager,CA,Smoked Ale,-,3.067
James Page Voyageur Extra Pale Ale,WI,American Pale Ale,5.4%,3.067
Snowshoe Lodgepole IPA,CA,IPA,7.1%,3.067
Titletown Pullman Porter,WI,Porter,5.5%,3.067
Minhas Thumper American IPA,WI,IPA,6.8%,3.067
Elysian Zephyrus Pilsner,WA,Bohemian / Czech Pilsener,4.7%,3.067
Grumpy Troll Trailside Wheat,WI,Hefeweizen,4.5%,3.067
Fat Cat Lager,WI,Lager,-,3.067
Lang Creek Tri-Motor Amber Ale,MT,Amber Ale,5.2%,3.067
Oasis Pale Ale,CO,American Pale Ale,5%,3.067
Bricktown Rock Island Rail Ale,OK,Amber Ale,-,3.067
Good People Pale Ale,AL,American Pale Ale,5.6%,3.067
Dry Dock Urca Vanilla Porter,CO,Porter,5.3%,3.067
Legend Pilsner,VA,Bohemian / Czech Pilsener,-,3.067
St. Stan's Storm Rider Amber Ale,CA,Amber Ale,5.6%,3.067
Chattanooga Imperial Pilsner,TN,Bohemian / Czech Pilsener,5.5%,3.067
Funkwerks Deceit,CO,Abbey Tripel,8.5%,3.067
Leinenkugel Summer Shandy,WI,Fruit Beer,4.2%,3.065
Mission St. Pale Ale,CA,American Pale Ale,4.8%,3.065
Sweetwater Road Trip,GA,Blonde Ale,5.3%,3.064
Starr Hill Amber,VA,Amber Ale,6%,3.064
Brewery Hill Pocono Pale Ale,PA,English Pale Ale,-,3.064
Rogue Irish Style Lager,OR,Bohemian / Czech Pilsener,5.2%,3.063
Shipyard Chamberlain Pale Ale,ME,English Pale Ale,4.8%,3.063
Maui Bikini Blonde Lager,HI,Light / Lite Lager,3.8%,3.063
Saranac Golden Pilsener,NY,American Wheat,5.2%,3.062
Samuel Adams Porch Rocker,MA,Fruit Beer,4.5%,3.062
Farmhouse Saison 7,CA,Saison,6.8%,3.062
Smoky Mountain Black Bear Ale,TN,Brown Ale,5.4%,3.062
River Horse Belgian Frostbite Winter Ale,NJ,Belgian Strong Ale,8%,3.062
Shiner 101 Czech-Style Pilsner,TX,Bohemian / Czech Pilsener,5.5%,3.062
Sierra Blanca Nut Brown Beer,NM,Brown Ale,-,3.062
Blue Moon Honey Blonde Ale,CO,Blonde Ale,-,3.062
Leinenkugel Oktoberfest Lager,WI,Marzen / Oktoberfest,5.1%,3.061
Abita Christmas Ale,LA,Brown Ale,6.13%,3.061
Sierra Nevada Wheat,CA,American Wheat,4.4%,3.060
Shiner Kolsch (Summer Stock),TX,Kölsch,-,3.060
New Holland Full Circle,MI,Kölsch,5.25%,3.060
Bridgeport Pintail Ale,OR,American Pale Ale,5.2%,3.060
Back Forty Truck Stop Honey Brown Ale,AL,Brown Ale,6%,3.060
Harpoon Glacier Harvest Wet Hop Beer (100 Barrel Series),MA,American Pale Ale,6.7%,3.060
Otter Creek Vermont Lager,VT,Lager,5%,3.060
Cascade Lakes India Pale Ale,OR,IPA,6.8%,3.060
Bayern Dancing Trout Ale,MT,Krystal Weizen,5.6%,3.060
Big River Vienna Lager,TN,Vienna / Amber Lager,5.2%,3.060
New Belgium Pumpkick,CO,Spiced Beer,6%,3.060
Orlando Brewing Red Ale,FL,Amber Ale,-,3.060
Hauenstein Beer,MN,Pale Lager,4.6%,3.060
Iron Hill Belgian Single,DE,Reduced Alcohol,2.5%,3.060
Jester King Barrel Aged Sour Black Metal,TX,Wild Ale,10.4%,3.060
Augsburger Dark,WI,Dunkel / Dark Lager,-,3.060
Barley Island Black Majic Java Stout,IN,Coffee Stout,4.9%,3.060
City Pale Ale,WI,American Pale Ale,4.3%,3.060
Bison Pale Ale,CA,American Pale Ale,-,3.060
Muskie Capital Red Lager,WI,Vienna / Amber Lager,4.6%,3.060
Stoudts Old Abominable,PA,English Barleywine,9%,3.060
Thomas Kemper Mason Jar Marzen,WA,Marzen / Oktoberfest,6%,3.060
Edenton Helles Angel Golden Lager,NC,Helles / Dortmunder,5.2%,3.060
New Amsterdam Black & Tan,NY,Dunkel / Dark Lager,-,3.060
Beaver Street Brewery Abbey Trippel,AZ,Abbey Tripel,10.8%,3.060
Alpine Beer Company Scottish Ale,CA,Scottish Ale,-,3.060
Blue Pants Slip Rose Stawberry Saison,AL,Saison,6.5%,3.060
MacTarnahan's Goosebump Imperial Coffee Stout,OR,Imperial Stout,9%,3.060
Phantom Canyon Zebulons Peated Porter,CO,Porter,-,3.060
Empyrean Super Nova Summer Common,NE,California Common / Steam,6%,3.060
Anacapa Pierpont India Pale Ale,CA,IPA,6%,3.060
Olvalde Ode to a Russian Shipwright,MN,Imperial Porter,7.5%,3.060
Matts Premium,NY,Lager,-,3.060
Sun Valley Blonde Lager,ID,Lager,-,3.060
Manayunk American Hefeweizen,PA,American Wheat,4.9%,3.060
Brau Brothers Cream Stout,MN,Milk Stout,4.5%,3.060
Iron Fist Hired Hand,CA,Saison,6.5%,3.060
Uinta Gelande Amber Lager,UT,Lager,-,3.060
Boundary Bay Inside Passage Ale,WA,IPA,6.4%,3.060
Squatters Vienna Lager,UT,Vienna / Amber Lager,4%,3.060
Stone Cellar Between the Locks Light,WI,Light / Lite Lager,-,3.060
Amnesia Mother Plucker,OR,American Pale Ale,5%,3.060
Pearl Street Dankenstein Imperial IPA,WI,Imperial IPA,9.5%,3.060
Rhino Chasers Amber Ale,CA,Amber Ale,-,3.060
Victory Abbey 6,PA,Abbey Dubbel,6.5%,3.060
Delafield Dock Light,WI,Light / Lite Lager,3.5%,3.060
Laughing Dog Huckleberry Cream Ale,ID,Fruit Beer,-,3.060
Tommyknocker Golden Saison,CO,Saison,5%,3.060
Brewery At Lake Tahoe Needle Peak Ale,CA,American Pale Ale,-,3.060
Christian Moerlein Emancipator Doppelbock,OH,Doppelbock,7%,3.060
Dillon Dam Sweet Georges Brown,CO,Brown Ale,-,3.060
Taps ESB,CA,Extra Special Bitter,5.5%,3.060
Estes Park Porter,CO,Porter,4.7%,3.060
Harpoon Steve Stewarts Firth of Forth Ale,MA,Scottish Ale,5.4%,3.060
Coronado Brewing Saison by the Sea,CA,Saison,8%,3.060
Coeur D Alene Huckleberry Ale,ID,Fruit Beer,3.5%,3.060
Rock Bottom White Ale,CO,Witbier,-,3.060
Titletown Dry Eye Stout,WI,Dry Stout,-,3.060
Pearl Street Java Lava,WI,Coffee Stout,6%,3.060
Water Street Amber,WI,Vienna / Amber Lager,-,3.060
Rubicon Pilsner,CA,Bohemian / Czech Pilsener,5%,3.060
Upland Rad Red Amber Ale,IN,Amber Ale,5.6%,3.060
Rivertown Brewing Octoberfest,OH,Marzen / Oktoberfest,-,3.060
Brew Brothers Carano Extra,NV,Kölsch,-,3.060
Choc Last Laugh,OK,American Wheat,5%,3.060
Taps Belgian Tripel,CA,Abbey Tripel,9.6%,3.060
Point Spring Bock,WI,Bock,-,3.060
Mt. Carmel Amber Ale,OH,Amber Ale,6%,3.060
Round Barn Amber Ale,MI,Amber Ale,-,3.060
Cambridge Great Pumpkin Ale,MA,Spiced Beer,4.2%,3.060
Ninkasi ReNEWAle Masons Irish-Style Red Ale,OR,Irish Ale,5.2%,3.060
Cottonwood Low Country Pale Ale,NC,American Pale Ale,5.2%,3.060
Bristol Yellow Kite,CO,Bohemian / Czech Pilsener,5%,3.060
Shiner Honey Wheat,TX,American Wheat,5.3%,3.060
East End The Ugly American,PA,Abbey Tripel,7.9%,3.060
Alpine Beer Company Emerson,CA,Imperial Pilsener,-,3.060
3 Sheeps Baaad Boy Black Wheat Ale,WI,Dunkel Weizen,5.5%,3.060
Moab Brewery Johnny's American IPA,UT,IPA,-,3.060
Fat Heads Holly Jolly,OH,Spiced Beer,7.5%,3.060
Rahr & Sons The Regulator,TX,Doppelbock,8.5%,3.060
Samuel Adams Old Kentucky Style Ale,MA,Strong Ale,6.5%,3.060
Moonlight Uncle Ollie,CA,Saison,-,3.060
Redhook Audible Ale,WA,American Pale Ale,4.7%,3.060
Buffalo Bill's Orange Blossom Cream Ale,CA,Cream Ale,5.2%,3.058
Thomas Creek Appalachian Amber Ale,SC,Amber Ale,5.5%,3.058
Flying Fish Extra Pale Ale,NJ,American Pale Ale,4.7%,3.058
Green Flash Nut Brown Ale,CA,Brown Ale,-,3.057
Yards Thomas Jefferson Tavern Ale,PA,Strong Ale,8%,3.057
Petes Place Miners Light,OK,Light / Lite Lager,-,3.057
Lucky Labrador Dog Day IPA,OR,IPA,5%,3.057
Sly Fox Burns Scottish Ale,PA,Scottish Ale,5%,3.057
Mississipi Mud Lager Beer,NY,Lager,-,3.057
Appalachian Hoppy Trails IPA,PA,IPA,6.2%,3.057
Appalachian Susquehanna Stout,PA,Dry Stout,4.6%,3.057
New Planet Off Grid Pale Ale,CO,American Pale Ale,5%,3.057
Gem of the Sea Solomons Ale,CA,Amber Ale,5.1%,3.057
Hoppy Brewing Company Liquid Sunshine Blonde Ale,CA,Blonde Ale,5%,3.057
Morgan Street Cobblestone Steam,MO,California Common / Steam,-,3.057
Foothills Carolina Strawberry Ale,NC,Fruit Beer,4.75%,3.057
Thirsty Dog Bout Time Barley Wine,OH,English Barleywine,10.5%,3.057
Brewery Hill Pocono Black and Tan,PA,Porter,-,3.057
Sly Fox Oktoberfest,PA,Marzen / Oktoberfest,5.8%,3.057
Wynkoop St. Charles Extra Special Bitter,CO,Extra Special Bitter,-,3.057
Snake River Lager,WY,Vienna / Amber Lager,6%,3.056
Cisco Grey Lady,MA,Witbier,4.5%,3.056
Southern Tier Cuvee Series 2,NY,Strong Ale,11%,3.056
Saranac Adirondack Amber,NY,Vienna / Amber Lager,5.1%,3.055
Brooklyn Winter Christmas Ale (2005 and earlier),NY,Spiced Beer,6.9%,3.055
Free State Wheat State Golden,KS,Kölsch,5.1%,3.054
Shiner Bock,TX,Dunkel / Dark Lager,4.41%,3.053
Smuttynose Summer Weizen,NH,American Wheat,5.2%,3.053
Hornsbys Draft Cider,CA,Cider,6%,3.050
Dock Street Amber,PA,Amber Ale,6%,3.050
Hook & Ladder Golden Ale,MD,Blonde Ale,-,3.050
Lakefront Wheat Monkey Ale,WI,American Wheat,4.2%,3.050
Big Sky Smoove Cherry Ale,MT,Fruit Beer,8.75%,3.050
Red Brick Summer Brew,GA,American Wheat,4.5%,3.050
Railhouse Big Mac IPA,WI,IPA,5.7%,3.050
Uinta India Pale Ale,UT,IPA,4%,3.050
Dale Bros. California Black Beer,CA,Dunkel / Dark Lager,-,3.050
Pizza Port Cardiff Cream Ale,CA,Cream Ale,-,3.050
Santa Fe Wheat,NM,American Wheat,4.5%,3.050
Big River Wild Mild,TN,Mild Ale,-,3.050
Blind Tiger Chief Burnetts IPA,KS,IPA,-,3.050
Mt. Carmel Blonde Ale,OH,Blonde Ale,5.5%,3.050
J.T. Whitneys Koln Kolsch,WI,Kölsch,-,3.050
Lucky Labrador Black Lab Stout,OR,Foreign / Extra Stout,6.5%,3.050
Empyrean Collapsar Oatmeal Stout,NE,Oatmeal Stout,6%,3.050
Crispin Natural Hard Apple Cider Artisinal Reserve Lansdowne,MN,Cider,6.9%,3.050
John Harvards Pilgrims Porter,MA,Porter,5.8%,3.050
Stewarts India Pale Ale,DE,IPA,-,3.050
Lengthwise Triple Hop Red Ale,CA,Amber Ale,5.6%,3.050
Crabtree Boxcar Brown Ale,CO,Amber Ale,5.2%,3.050
Appalachian Trail Blaze Brown,PA,Brown Ale,-,3.050
Milwaukee Ale House Pressing 78 Porter,WI,Porter,5%,3.050
Stoudts Honey Double Bock,PA,Doppelbock,7%,3.050
Kross Country Amber Ale,VT,Belgian Ale,4.8%,3.050
Bells Wedding Ale,MI,American Wheat,7%,3.050
Starr Hill Festie,VA,Marzen / Oktoberfest,4.8%,3.050
Hub City Pale Ale,IA,American Pale Ale,5.8%,3.050
Miller Lite Blonde Ale,WI,Blonde Ale,4.2%,3.050
Butte Creek Fresh Hop Organic India Pale Ale,CA,IPA,6.6%,3.050
Portland Kornhausers Oast,OR,American Pale Ale,-,3.050
Coastal Fog Amber Ale,CA,Amber Ale,-,3.050
Metolius Dolly Varden India Pale Ale,OR,IPA,-,3.050
Fire Island Lighthouse Ale,NY,Amber Ale,-,3.050
Mission St. Brown Ale,CA,Brown Ale,5.7%,3.050
Rocky River Pirate Light,OH,Blonde Ale,3.7%,3.050
Stonefly Bovzard's Special Bitter,WI,Bitter,6%,3.050
Alandale American IPA,MO,IPA,-,3.050
Alcatraz Heart of Darkness,CA,IPA,7.3%,3.050
Caldera Rose Petal,OR,Blonde Ale,6.7%,3.050
Black Forest Chocolate Doppelbock,NY,Doppelbock,7.6%,3.050
Cascade Wee Ane,OR,Scottish Ale,4.75%,3.050
Finch's Golden Wing Blonde Ale,IL,Blonde Ale,4.7%,3.050
Mammoth Owens Valley Wet Harvest Ale 2010,CA,American Black Ale,6.8%,3.050
Rogue 21 Ale,OR,Old Ale,8%,3.050
Sonoran Victorian IPA,AZ,IPA,6.2%,3.050
Golden Bear Hibernator Winter Ale,CA,English Strong Ale,6.5%,3.050
Peoples Pint Farmer Brown,MA,Brown Ale,6.2%,3.050
Sea Dog Old Gollywobbler Brown Ale,ME,Brown Ale,4.75%,3.050
Cigar City Table Saison,FL,Saison,5%,3.050
SLO Brewing Cole Porter,CA,Porter,6%,3.050
Pearl Street Bedwetter Barleywine,WI,American Barleywine,10%,3.050
The Brew Kettle Dark Munich Lager,OH,Dunkel / Dark Lager,4.8%,3.050
Chardon Brew Works Milk Chocolate Pommegranate Stout,OH,Milk Stout,-,3.050
Ale Asylum Hatha-Weizen,WI,Hefeweizen,-,3.050
Stewarts DelCastle Brown Ale,DE,Brown Ale,4.9%,3.050
Black Market Brewing Rye IPA,CA,IPA,7.5%,3.050
